700
DXXVI	MCXXIII
DXXI	MDCXLI
CIX	MDCLXXXI
MCDXXVI	MCMLXX
MCCCXLV	CCCLI
MCDII	DCCLXXVII
CCCXLVIII	DCLXVIII
MCMXIX	MDXXXVIII
MCLXVIII	CCCXLVIII
MCDLXXVI	MDCCCLXXXV
CLXXIII	MDXLIX
MDCCXXXVIII	MDXLIX
CCCLXXIX	CCLXXXIV
MDCCCXLI	DXXXIX
CCXIX	MDCCCVII
MCCXXIV	CMLXXXVIII
MDLX	MCMLXXII
MDCCLXXXVI	MCLI
MLVI	MCDLVII
CCCLXXXVIII	MCXLVIII
CCIV	MDCCXLV
MCLIV	MDLXIV
DCCLVI	CCLI
MCDLIV	DCCCXCV
MCCXXXI	DCCCLXII
MCXXV	DCCCLXV
MDCCCLXIV	MCCCXLV
LXXIV	CDLXV
CMLXI	MDCLV
CCCXLV	MCMXLVI
CCXXIII	MDCXXVIII
CLXVIII	CCCXCIII
MDCLXXXIX	CCCXX
DCCCLIV	CDXII
DCCCXXXVI	CCXXIV
MCCCLXXV	MCDXXXVIII
MCCLXXI	MCMXL
CDXLIV	DLXXXV
DCLII	XV
MCDLXXXII	DCCLX
DCCL	DLXXII
MCMXXI	CCXLV
DCCLXXVI	CXX
CLXXXVII	CDXXIII
MCDXXXIX	MDCCCLV
MCCLX	MCLV
MCXLV	MCDLXXXII
CXCI	MDCCCXXVI
MCMXIII	MXLVII
MDXX	CDLXXVII
MCI	MCMXCVII
DCCLVIII	C
MDXXX	MDLVII
DLXXXII	CCIX
DCCLXIII	DCCLXXXI
CMXCVIII	CCCLVI
CII	MCCLXII
MCLXXII	CCCXXXVI
DCCIX	DCCLI
MDCLIII	MCMLV
CCLXXXIII	MCCCLXXIX
MCCCXCI	CXCII
DXXXIX	MXVII
MXCVIII	MDCCLVII
DLIX	CCXCVII
MCCXXXII	MDCXVII
DCCXVI	CCCXLV
CMLV	MCMLVII
CMLIV	MDLI
MLVI	MDCXXIII
CCLXXXVIII	CCXXXVI
MCCXXXII	MCDXXXIII
MCCCXLVI	MDCLXXIII
